"order_item_refund_id";"created_at";"order_item_id";"order_id";"refund_amount_usd"
132;"2012-12-02 16:26:56";2064;2064;49.99
133;"2012-12-02 20:46:16";2051;2051;49.99
134;"2012-12-02 23:09:37";1988;1988;49.99
135;"2012-12-03 00:54:53";1909;1909;49.99
136;"2012-12-03 22:16:21";1905;1905;49.99
137;"2012-12-03 22:45:33";1961;1961;49.99
138;"2012-12-04 02:54:59";1918;1918;49.99
139;"2012-12-04 15:16:20";1776;1776;49.99
140;"2012-12-04 17:07:30";2028;2028;49.99
141;"2012-12-05 13:29:12";1797;1797;49.99
142;"2012-12-05 14:58:49";1915;1915;49.99
143;"2012-12-05 21:25:47";1818;1818;49.99
144;"2012-12-06 00:11:14";1947;1947;49.99
145;"2012-12-08 09:35:07";1745;1745;49.99
146;"2012-12-09 02:30:55";2050;2050;49.99
147;"2012-12-11 09:41:38";2184;2184;49.99
148;"2012-12-12 17:40:37";2098;2098;49.99
149;"2012-12-13 18:49:37";2045;2045;49.99
150;"2012-12-13 21:56:23";2241;2241;49.99
151;"2012-12-14 00:26:51";2057;2057;49.99
152;"2012-12-15 01:53:06";2165;2165;49.99
153;"2012-12-15 18:15:51";2147;2147;49.99
154;"2012-12-18 06:03:13";2341;2341;49.99
155;"2012-12-18 10:33:26";2172;2172;49.99
156;"2012-12-18 16:32:34";2244;2244;49.99
157;"2012-12-19 10:27:35";2202;2202;49.99
158;"2012-12-20 10:37:58";2365;2365;49.99
159;"2012-12-21 23:38:22";2377;2377;49.99
160;"2012-12-22 07:03:24";2415;2415;49.99
161;"2012-12-23 12:55:13";2337;2337;49.99
162;"2012-12-24 02:35:44";2249;2249;49.99
163;"2012-12-26 16:24:38";2444;2444;49.99
164;"2012-12-26 20:36:29";2445;2445;49.99
165;"2012-12-26 21:48:11";2323;2323;49.99
166;"2012-12-27 18:09:17";2398;2398;49.99
167;"2012-12-28 15:07:54";2479;2479;49.99
168;"2012-12-31 17:05:00";2446;2446;49.99
169;"2012-12-31 22:19:36";2431;2431;49.99
170;"2013-01-01 14:30:14";2426;2426;49.99
171;"2013-01-04 00:06:45";2498;2498;49.99
172;"2013-01-04 11:38:50";2489;2489;49.99
173;"2013-01-05 17:00:37";2504;2504;49.99
174;"2013-01-06 01:50:15";2492;2492;49.99
175;"2013-01-06 07:42:52";2495;2495;49.99
176;"2013-01-07 01:10:03";2549;2549;49.99
177;"2013-01-07 17:47:46";2525;2525;49.99
178;"2013-01-09 17:13:54";2619;2619;49.99
179;"2013-01-10 20:07:54";2576;2576;49.99
180;"2013-01-12 05:10:13";2711;2711;49.99
181;"2013-01-15 12:24:45";2715;2715;49.99
182;"2013-01-15 13:09:56";2621;2621;49.99
183;"2013-01-17 04:44:14";2752;2752;49.99
184;"2013-01-17 18:44:28";2660;2660;49.99
185;"2013-01-19 22:51:37";2790;2790;49.99
186;"2013-01-24 13:47:12";2755;2755;49.99
187;"2013-01-27 04:11:13";2777;2777;49.99
188;"2013-01-27 04:20:14";2789;2789;49.99
189;"2013-01-28 08:17:35";2805;2805;49.99
190;"2013-01-29 06:53:06";2846;2846;59.99
191;"2013-02-01 19:47:16";2961;2961;49.99
192;"2013-02-01 21:10:04";2833;2833;49.99
193;"2013-02-02 14:05:43";2911;2911;49.99
194;"2013-02-03 20:08:05";2978;2978;49.99
195;"2013-02-06 16:47:17";2998;2998;59.99
196;"2013-02-07 05:42:43";2906;2906;49.99
197;"2013-02-07 20:48:37";2913;2913;49.99
198;"2013-02-10 23:31:08";2958;2958;49.99
199;"2013-02-12 00:01:58";3079;3079;49.99
200;"2013-02-12 11:30:22";3014;3014;49.99
201;"2013-02-12 13:57:44";3019;3019;49.99
202;"2013-02-13 02:20:25";2999;2999;49.99
203;"2013-02-14 01:34:01";3073;3073;49.99
204;"2013-02-20 05:32:09";3048;3048;49.99
205;"2013-02-20 05:50:45";3067;3067;49.99
206;"2013-02-20 06:06:12";3284;3284;59.99
207;"2013-02-22 05:03:31";3109;3109;49.99
208;"2013-02-22 16:58:52";3297;3297;49.99
209;"2013-02-26 16:19:54";3199;3199;49.99
210;"2013-02-27 02:11:35";3118;3118;49.99
211;"2013-02-27 15:03:31";3355;3355;49.99
212;"2013-02-28 01:47:26";3178;3178;49.99
213;"2013-02-28 03:34:35";3380;3380;49.99
214;"2013-03-02 02:09:14";3306;3306;49.99
215;"2013-03-02 02:13:15";3396;3396;49.99
216;"2013-03-04 02:16:39";3313;3313;49.99
217;"2013-03-05 03:49:45";3487;3487;49.99
218;"2013-03-05 05:29:03";3373;3373;49.99
219;"2013-03-05 09:12:30";3425;3425;49.99
220;"2013-03-06 05:10:24";3400;3400;49.99
221;"2013-03-06 07:46:28";3316;3316;49.99
222;"2013-03-07 21:42:06";3452;3452;49.99
223;"2013-03-08 12:47:00";3524;3524;49.99
224;"2013-03-08 22:58:45";3517;3517;49.99
225;"2013-03-10 19:23:47";3417;3417;49.99
226;"2013-03-17 21:26:57";3499;3499;59.99
227;"2013-03-19 07:16:03";3607;3607;49.99
228;"2013-03-19 09:49:01";3573;3573;49.99
229;"2013-03-20 07:28:22";3563;3563;59.99
230;"2013-03-21 11:20:07";3585;3585;49.99
231;"2013-03-22 13:12:35";3549;3549;49.99
232;"2013-03-24 09:17:09";3633;3633;49.99
233;"2013-03-26 03:39:53";3632;3632;49.99
234;"2013-03-31 17:52:14";3806;3806;49.99
